2019-05-10 00:25:22.019 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block d10c3c28adaf29de3da92e344d5d190caa228d9f5e78cfecaf6027c39f0f17a2 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.019 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 5bc4ad06eca98f30270481d54cc8fc130544d04232ab26cc3c9c4bf9776246f7 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.019 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 00d4c17c64daa8e3ea33f7b18cf0bcd548fcd54329565ef207565d9cf6c7c662 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.028 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 7853921f72295248011a4527b51bc38b898eece148f6019c804a2f4c41e666cd extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.028 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block d63f14a7d3bd56885622bc05e3ad6304564dee56659934f85460d74cef707027 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.028 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block e84e1f1600a40df2c4a0aeb28c824f11ac532024a1efa6d28964aea700a4b2a6 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.041 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 98d170b1493644bf041028bec5dc11b8093ae1df526fab70ab3dba3ca4b195e4 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.071 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 5932f331de27d0ea46c4a01eef047615a480fd369e9c479024bf666445ac74fb extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.071 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 96d37f3d60bb7976637774a75c89a34743a098eb7a0aa8edfda6fc2c2aabf727 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.071 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block e083d66c8f73362e7dd25881f685c00f9542bc0c09bc469f38af4115297a2087 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.071 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 66a32e09b3c0434d8dd12b4024a74ba9eefbeb9fabbeda2aa39523123d4bb392 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.072 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block acc10cee14fae62f73228b4e70f28bd52be86fd51c25e61b14f12fa5680d9764 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.072 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block efb0a4c0119629e5e9e52b64c7bf0bea9572efa03a98726a07887e74d68dfff7 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.072 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 61a28cdc57bade246d33e8190644f5ef638568661565b90d043908e57a142a98 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.072 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block 8603ba4493fdf92aa468e430c9ed7a2109d28635e05ee2d0b19ef3090b2fa5a0 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
2019-05-10 00:25:22.085 [INF] BCDB /go/src/github.com/elastos/Elastos.ELA.SideChain.ID/vendor/github.com/elastos/Elastos.ELA.SideChain/blockchain/blockchain.go:935: EXTEND FORK: Block d8a81c3e62bfd22048106ed65efd861d5411e8f148bc8cb31bc5b55443acdb23 extends a side chain which forks the chain at height 0/block a3c455a90843db2acd22554f2768a8d4233fafbf8dd549e6b261c2786993be56
