2019-07-19 13:02:23.533 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 9b4c0185ef6355fda33612ab4c76210fb825e23c6df4313ad4a3822d8c64d72c at height 14
2019-07-19 13:02:23.533 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 1a7e0d2e2c6d30bbdfa4c97c90dc93ee46d17d55594fc1592d3474246412cfc0 at height 15
2019-07-19 13:02:23.533 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 584470c6bc9ea6062571ec11d5018a61b7c52749969ae18cde0451c58a623521 at height 16
2019-07-19 13:02:23.533 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block e5f6d1b6f66986f0a37adae6d8982a1b5778ab0d03824977a1dcdde284833f1f at height 17
2019-07-19 13:02:23.534 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block c6bea3d6dbb8c175f0adb245eb6dbaf803c736143b20c82abb67a7439a1e7276 at height 18
2019-07-19 13:02:23.534 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 1c6a8d07f1e590c5ca412d0b2c693f46f2a870cf8646d10428eaa17319008a3c at height 19
2019-07-19 13:02:23.534 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block c565016abdddce306810f1e35df10f3cf6a14f2ebbc45c07ccaa07c50c5c69f0 at height 20
2019-07-19 13:02:23.534 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 6164df25ed121f96025b8627969ee90f69090a38131d2c1f0ab77694d3dcf9f8 at height 21
2019-07-19 13:02:23.534 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block e4f399a6dab2f1eba1d2334184de437e6c89f46577cd1317d92043216845ee46 at height 22
2019-07-19 13:02:23.534 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block d6d5aebda855ba8b4946f7ce9817470c262f05e706afdb532b38d984004c049c at height 23
