2019-04-23 20:06:12.488 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 4b39464681f3a2e68d6758f847cf2b3721341b21cf0ff5fb170723476bb990d0 at height 15
2019-04-23 20:06:12.488 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 80d40230e1fe0df40ccdef3e0463cc2eb0ac4ab120d5779408b45312c83eff9b at height 16
2019-04-23 20:06:12.489 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 11e0124c705abb5fc4b090d2512afbf73b371729dce995b86d6c589f864f9c0b at height 17
2019-04-23 20:06:12.489 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 1e2f6674845e335ba34c3c3764748564ce94a5f86242de1560a88df7af7926f8 at height 18
2019-04-23 20:06:12.489 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block dc571ce25cd8983eaf8483dc51b4221d1d48c0813ef19a50c518cee10a65fd69 at height 19
2019-04-23 20:06:12.489 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block a1c37c7bc8a05adfb31e59d90d5141f63104a7359534c439ebbefa855de81aed at height 20
2019-04-23 20:06:12.489 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 18c0762f62c096ef4feb436576484b12eb251cf1aa919a3b47f390babbd0acf3 at height 21
2019-04-23 20:06:12.489 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 8bd427ae91940b9f55f3ad87542ba2da7af5ef7520d5c17dbfe448eb9c34276f at height 22
2019-04-23 20:06:12.489 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block e4d4cf23837c0a3d618b86d79c41c9685f0ab36f8655ac25ff2a390f4e126cc0 at height 23
2019-04-23 20:06:12.528 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 0de7ae30f59ec37a7cfa590278d19c33dc135ffd3785b7cd0631c26e48f20502 at height 24
2019-04-23 20:06:12.531 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 5b6e35942884a5f02b533f0c5f69d53f34723f00a979c38df8ec47f01703ce99 at height 25
2019-04-23 20:06:12.532 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 7d27f4848d9e88be125a183f5571727ae73681fd51080fa15a5f02d9878ab767 at height 26
2019-04-23 20:06:12.602 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 2eb4fe2972cde5c146c79c97ed377ceffeca4c1e2a1c1612a2d9d82e7bda3438 at height 27
2019-04-23 20:06:12.602 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 2db936d5871bc975ef8fda9b368f72e01a8ea5362ee695c0d537a9168c547edc at height 28
2019-04-23 20:06:12.602 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 65257c047d09670cc2550ee5bb822a8c118c16bf7a7c03c00128965c1a1409fc at height 29
2019-04-23 20:06:12.603 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 3acc16cf3ebdc5f954fbdf3e290f1af93b8dde442662cf21ad11795d171d6807 at height 30
2019-04-23 20:06:12.603 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block e9bb1c74b52c025e4c8bf447f9050e123ec3356b6471b7d0d1f9be6ef127e215 at height 31
2019-04-23 20:06:12.603 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 3695cc147270803d07f2bb8d07c36baea38967e44b470e93bc26c0eb14af42ba at height 32
2019-04-23 20:06:12.603 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 92f98c295563290ef46bc87c4925b4dd4d1067a10f2592e930e15b87128a6eaf at height 33
2019-04-23 20:06:12.603 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 11f8086a12b20a3f4d5ca1d061ff7bea6903a6cc776b313ab365175752914d65 at height 34
2019-04-23 20:06:12.604 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block 871b5fe638e960eb6f4eb6af6f3ac9de1b731d895f19deea129a9933ae3ed233 at height 35
2019-04-23 20:06:12.604 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block b9d28853d0ce248c8442427a6db81ec98c4ccd762938728797ec4adb1309ace7 at height 36
2019-04-23 20:06:12.604 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block ecd28bad06b72d05edb3153a0ce7bd9ed5bedf435ab1b4fb8a5228e17668c223 at height 37
2019-04-23 20:06:12.604 [INF] SPVS /home/kpachhai/dev/src/github.com/elastos/Elastos.ELA.SideChain.Token/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:413: Received block ce398b467ea3ba59d116be03bc41109ef47c925a03d28d3d8d47889c892eec3b at height 38
