2019-09-25 23:57:35.236 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block d44b5e3928c303d392d8bc67316958e27c18b1c4889e278edd37644383be6ee8 at height 15
2019-09-25 23:57:35.237 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 53ba343b698198df68d8599cc1d98b950beafe323b4a5179a7e665a2261d98b5 at height 16
2019-09-25 23:57:35.237 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 2531ab705e5c398fc2ad5dac26680110dce0ac1cce6ba4f8c710ced814f5cee2 at height 17
2019-09-25 23:57:35.237 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 0b7b8b7cccaba97ea31412b9d5a053b16229bda682a2b26d95b0001159be5143 at height 18
2019-09-25 23:57:35.238 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 0a70b7394a57460cb0e55273cd54e9a9194bc4f268e69b97408addf645960d2c at height 19
2019-09-25 23:57:35.238 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 6e281a01ff3c5080c1be61f8491234a44308e47750064f3ce1e7ae2e2a49285f at height 20
2019-09-25 23:57:35.238 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 021f074e5403805d7f346eaf031e3edfed3c13e7cf282c4c8a364743101936a9 at height 21
2019-09-25 23:57:35.238 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block ae86b8b6b1f45a2c2e5a4282689ba5f5f1b7241d082353043c3f40619ca04fe1 at height 22
2019-09-25 23:57:35.240 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block e8dc7f66b2f08c0a4349d40a5fb8dd069cdd0ef74fee2d7c77588d2efc108579 at height 23
2019-09-25 23:57:35.240 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 15fadf778bf7a566623e06c11adcb3ad4a68df1cb0f7c40bfe804d3d5b4c1cbd at height 24
2019-09-25 23:57:35.241 [INF] SYNC /go/src/github.com/elastos/Elastos.ELA.SideChain.ETH/build/_workspace/src/github.com/elastos/Elastos.ELA.SideChain.ETH/vendor/github.com/elastos/Elastos.ELA.SPV/sync/manager.go:419: Received block 2e6fb6184f1c32867d3066e6c7496a9fd4f8cf2ef4a68506bb7f4a11403cce51 at height 25
